66069;Steinbach-Hallenberg, Kurort, Stadt;215;300;310
66071;Stepfershausen;235;320;320
66073;Sülzfeld;300;300;300
66074;Trusetal;300;300;300
66075;Unterkatz;200;300;300
66076;Untermaßfeld;235;320;320
66077;Unterschönau;200;300;300
66078;Unterweid;200;300;300
66079;Utendorf;200;300;200
66081;Vachdorf;200;300;300
66082;Viernau;200;300;300
66083;Wahns;250;300;340
66084;Wallbach;200;300;300
66085;Walldorf;200;300;300
66086;Wasungen, Stadt;215;300;300
66087;Wernshausen;235;320;320
66088;Wölfershausen;300;300;300
66091;Wolfmannshausen;300;300;300
66092;Zella-Mehlis, Stadt;200;300;300
66093;Rhönblick;200;300;300
67000;Landkreis Gotha;221;345;355
67001;Apfelstädt;200;300;300
67002;Aspach;200;300;300
67003;Ballstädt;200;300;300
67004;Bienstädt;200;300;300
67005;Brüheim;200;300;200
67006;Bufleben;215;300;300
67008;Crawinkel;215;300;300
67009;Dachwig;200;320;320
67011;Döllstädt;200;320;320
67012;Ebenheim;200;300;200
67013;Emleben;220;300;330
67015;Ernstroda;215;350;320
67016;Eschenbergen;200;300;300
